sentences,sentenceIndex,paragraphIndex,section,wikiId
"Pinkney ""Pink"" Anderson (February 12, 1900 – October 12, 1974) was an American blues singer and guitarist.",0,0,N/A,386760
== Life and career ==,0,1,== Life and career ==,386760
"Anderson was born in Laurens, South Carolina, and raised in nearby Greenville and Spartanburg.",0,2,== Life and career ==,386760
"He joined Dr. William R. Kerr of the Indian Remedy Company in 1914 to entertain the crowds, while Kerr tried to sell a concoction purported to have medicinal qualities.",1,2,== Life and career ==,386760
"During this time Anderson occasionally worked with Blind Simmie Dooley in the Spartanburg area, recording with him in 1928 for the Columbia label.",2,2,== Life and career ==,386760
"In the 1950s Anderson toured with Leo ""Chief Thundercloud"" Kahdot and his medicine show, often with the harmonica player Arthur ""Peg Leg Sam"" Jackson, who was based in Jonesville, South Carolina.",3,2,== Life and career ==,386760
Anderson was recorded by the folklorist Paul Clayton at the Virginia State Fair in May 1950.,0,3,== Life and career ==,386760
He recorded an album in the early 1960s and performed at some live venues.,0,4,== Life and career ==,386760
He appeared in the 1963 film The Bluesmen.,1,4,== Life and career ==,386760
He reduced his activities in the late 1960s after a stroke.,2,4,== Life and career ==,386760
"Attempts by the folklorist Peter B. Lowry to record Anderson in 1970 were not successful, although apparently he could occasionally summon up some of his past abilities.",3,4,== Life and career ==,386760
"A final tour took place in the early 1970s with the aid of Roy Book Binder, one of his students, taking him to Boston and New York City.",4,4,== Life and career ==,386760
"He died in October 1974 of a heart attack, at the age of 74.",0,5,== Life and career ==,386760
"He is interred at Lincoln Memorial Gardens, in Spartanburg.Anderson's son, known as Little Pink Anderson (born July 13, 1954), is a bluesman living in Vermillion, South Dakota.",1,5,== Life and career ==,386760
== The Pink in Pink Floyd ==,0,6,== The Pink in Pink Floyd ==,386760
"Syd Barrett, of English progressive rock band Pink Floyd, created the band's name by juxtaposing the first names of Anderson and North Carolina bluesman Floyd Council.",0,7,== The Pink in Pink Floyd ==,386760
== Discography ==,0,8,== Discography ==,386760
=== Singles ===,0,9,== Discography == | === Singles ===,386760
"""Papa's About to Get Mad"" / ""Gonna Tip Out Tonight"", Pink Anderson and Simmie Dooley (recorded April 14, 1928), Columbia 14336-D",0,10,== Discography == | === Singles ===,386760
"""Every Day in the Week Blues"" / ""C.C.",0,11,== Discography == | === Singles ===,386760
"and O. Blues"", Pink Anderson and Simmie Dooley (recorded April 14, 1928), Columbia 14400-D",1,11,== Discography == | === Singles ===,386760
=== Albums ===,0,12,== Discography == | === Albums ===,386760
"American Street Songs (Riverside, 1956) – shared album with Reverend Gary Davis",0,13,== Discography == | === Albums ===,386760
"Carolina Blues Man (Bluesville, 1961)",0,14,== Discography == | === Albums ===,386760
"Medicine Show Man (Bluesville, 1962)",0,15,== Discography == | === Albums ===,386760
"Ballad & Folksinger (Bluesville, 1963)",0,16,== Discography == | === Albums ===,386760
"Carolina Medicine Show Hokum & Blues (Folkways, 1961–62 [1984])",0,17,== Discography == | === Albums ===,386760
