sentences,sentenceIndex,paragraphIndex,section,wikiId
"Rob de Nijs (born 26 December 1942) is a Dutch singer and actor, active since the 1960s.",0,0,N/A,27606174
==,0,1,== Biography ==,27606174
Biography ==,1,1,== Biography ==,27606174
===,0,2,== Biography == | === 1962–1968 ===,27606174
1962–1968,1,2,== Biography == | === 1962–1968 ===,27606174
===,2,2,== Biography == | === 1962–1968 ===,27606174
"De Nijs, backed by The Lords, won a talent-contest in 1962 and released his first single in 1962, Ritme van de Regen.",0,3,== Biography == | === 1962–1968 ===,27606174
In 1965 De Nijs split from The Lords because they signed their own record-deal at another label; he embarked on a joint circus-tour with Johnny Lion.,1,3,== Biography == | === 1962–1968 ===,27606174
"By 1967, De Nijs was a free agent; he performed at small venues and worked as a bartender for a living.",0,4,== Biography == | === 1962–1968 ===,27606174
"His attempts to keep up with the zeitgeist, including Bye Bye Mrs. Turple, failed; he only made the headlines by marrying his girlfriend Elly in 1968.",1,4,== Biography == | === 1962–1968 ===,27606174
===,0,5,== Biography == | === 1969–1972 ===,27606174
1969–1972,1,5,== Biography == | === 1969–1972 ===,27606174
===,2,5,== Biography == | === 1969–1972 ===,27606174
In 1969 De Nijs took part in the Dutch heat of the Eurovision Song Contest and through musicals like Sajjuns Fiksjen he landed himself a role in children's TV-series Oebele.,0,6,== Biography == | === 1969–1972 ===,27606174
This was followed in 1972 by Hamelen in which he played Bertram Bierenbroodspot.,1,6,== Biography == | === 1969–1972 ===,27606174
===,0,7,== Biography == | === 1973–1979 ===,27606174
1973–1979,1,7,== Biography == | === 1973–1979 ===,27606174
===,2,7,== Biography == | === 1973–1979 ===,27606174
Singer Boudewijn de Groot and songwriter Lennaert Nijgh helped De Nijs relaunch his singing career; in 1973 he was back in the charts with Jan Klaassen de Trompetter.,0,8,== Biography == | === 1973–1979 ===,27606174
"The hits continued through 1975-1976, notably Malle Babbe and Zet een Kaars voor Je Raam (a Dutch translation by Lennaert Nijgh of David McWilliams's Can I Get There by Candlelight?).",0,9,== Biography == | === 1973–1979 ===,27606174
"In 1977 De Nijs released Tussen Zomer en Winter, a concept-album chronicling the change from a hot summer's day to a cold winter's night, which starts with the hit song Het Werd Zomer, a translation from the Peter Maffay song Und Es War Sommer, and ending with In De Winter, a translation of the Janis Ian song In The Winter.",1,9,== Biography == | === 1973–1979 ===,27606174
The album also features translations of Lou Reed's Perfect Day and The Beach Boys' Disney Girls (1957).,2,9,== Biography == | === 1973–1979 ===,27606174
=== 1980s,0,10,== Biography == | === 1980s ===,27606174
===,1,10,== Biography == | === 1980s ===,27606174
In 1980 De Nijs released Met Je Ogen Dicht (With Your Eyes Closed) which included the top 10-hit Zondag and became the Netherlands' best-selling album of the year.,0,11,== Biography == | === 1980s ===,27606174
He met Belinda Meuldijk who gave up her own singing-career (after releasing only one single in 1979) to become his chief-songwriter and his second wife (they married in 1984).,1,11,== Biography == | === 1980s ===,27606174
The first efforts of their collaboration were collected in 1981 on the album De Regen Voorbij (Past The Rain; a reference to his artistic growth).,2,11,== Biography == | === 1980s ===,27606174
"In 1985 De Nijs had a Christmas #2-hit with the peace-anthem Alles Wat Ademt from the album Pur Sang; the English version, Let Love Be The Answer, would also be recorded by US-exile singer Joe Bourne for his Bourne in Holland-album of translated covers.",0,12,== Biography == | === 1980s ===,27606174
In 1986 De Nijs released an album of covers from the 1950s/1960s-era; it included his version of Living Doll shortly after the Comic Relief-remake topped the charts.,1,12,== Biography == | === 1980s ===,27606174
In 1987 he celebrated his silver jubilee; he re-recorded Ritme van de Regen for a Best Of-album and made a guest-appearance in television-series De Band as himself.,0,13,== Biography == | === 1980s ===,27606174
He also released an album titled Zilver (Silver) which mostly contained his interpretations of famous Dutch songs.,1,13,== Biography == | === 1980s ===,27606174
In 1989 De Nijs released De Reiziger (Travelling Man) featuring the bilingual duet Ik Hou Alleen Van Jou.,0,14,== Biography == | === 1980s ===,27606174
At the end of the year he wore his Bertram Bierenbroodspot-outfit again for a reunion with the leading-actors of Hamelen.,1,14,== Biography == | === 1980s ===,27606174
=== 1990s,0,15,== Biography == | === 1990s ===,27606174
===,1,15,== Biography == | === 1990s ===,27606174
"In 1990 Stranger In Your Land was released, his first album of English originals plus translations of Zonder Jou (On My Own; 1981 duet with Demis Roussos), Bo (1983) and Toerist In Het Paradijs (1989) which became the title-track.",0,16,== Biography == | === 1990s ===,27606174
The former ended up as the B-side of the Girls For Sale-single.,1,16,== Biography == | === 1990s ===,27606174
"In 1992, De Nijs appeared as a judge during the finale of the nl:Kinderen voor Kinderen festival, where he also performed the VIP-version of Allemaal kabaal (originally from the 11th edition of Kinderen voor Kinderen) with 2 children's choirs (De Waagzangertjes from Alkmaar, the Netherlands), and De Blokskes from St. Genesius-Rode, Flanders (Belgium).",2,16,== Biography == | === 1990s ===,27606174
In 1996 De Nijs scored his first #1-hit with a remix of Banger Hart.,3,16,== Biography == | === 1990s ===,27606174
=== 2000–present ===,0,17,== Biography == | === 2000–present ===,27606174
De Nijs entered the first decade of the 21st century with a knighthood and released albums with translations of meaningful Christmas-songs and French chansons (including This Melody for which Julien Clerc was flown in to sing the French parts).,0,18,== Biography == | === 2000–present ===,27606174
"Meanwhile, he separated from Meuldijk after twenty years; he married for the third time and became a father again.",1,18,== Biography == | === 2000–present ===,27606174
De Nijs was 70 when he welcomed his third son Julius.,2,18,== Biography == | === 2000–present ===,27606174
In 2010 De Nijs released the back-to-basics-album Eindelijk Vrij,0,19,== Biography == | === 2000–present ===,27606174
(Free At Last) which he recorded in the US.,1,19,== Biography == | === 2000–present ===,27606174
In 2012 he embarked on his 50th anniversary tour.,2,19,== Biography == | === 2000–present ===,27606174
"In 2014 De Nijs released an album called Nieuw Ruimte with contributions from well-known songwriters like Jan Rot, Boudewijn de Groot and Daniel Lohues; the latter two reprising their earlier collaborations with De Nijs.",0,20,== Biography == | === 2000–present ===,27606174
In 2016 De Nijs was honoured with the Radio 5 Oeuvre Award and a tribute-concert.,0,21,== Biography == | === 2000–present ===,27606174
In 2017 De Nijs released Niet voor het laatst; on this album he collaborated with Meuldijk again and sang a duet with his son Robbert,0,22,== Biography == | === 2000–present ===,27606174
"In September 2019, De Nijs announced his retirement from performing after being diagnosed with Parkinson's disease.",0,23,== Biography == | === 2000–present ===,27606174
A farewell-tour and a new album were scheduled for 2020.,1,23,== Biography == | === 2000–present ===,27606174
"On March 31, 2020 he appeared on the demissionary talkshow De Wereld Draait Door to perform two new songs.",2,23,== Biography == | === 2000–present ===,27606174
1963  ritme van de regen,0,24,== Biography == | === 2000–present ===,27606174
1964:,0,25,== Biography == | === 2000–present ===,27606174
Dit is Rob de Nijs,1,25,== Biography == | === 2000–present ===,27606174
1965:,0,26,== Biography == | === 2000–present ===,27606174
Rob en Trea (with Trea Dobbs),1,26,== Biography == | === 2000–present ===,27606174
1973:,0,27,== Biography == | === 2000–present ===,27606174
In de Uren van de Middag,1,27,== Biography == | === 2000–present ===,27606174
1975:,0,28,== Biography == | === 2000–present ===,27606174
Kijken hoe het Morgen Wordt,1,28,== Biography == | === 2000–present ===,27606174
1977:,0,29,== Biography == | === 2000–present ===,27606174
Tussen Zomer en Winter,1,29,== Biography == | === 2000–present ===,27606174
1978:,0,30,== Biography == | === 2000–present ===,27606174
Rob de Nijs,1,30,== Biography == | === 2000–present ===,27606174
1980:,0,31,== Biography == | === 2000–present ===,27606174
Met je Ogen Dicht,1,31,== Biography == | === 2000–present ===,27606174
1981:,0,32,== Biography == | === 2000–present ===,27606174
De Regen Voorbij,1,32,== Biography == | === 2000–present ===,27606174
1983:,0,33,== Biography == | === 2000–present ===,27606174
Roman,1,33,== Biography == | === 2000–present ===,27606174
1984:,0,34,== Biography == | === 2000–present ===,27606174
Pur Sang,1,34,== Biography == | === 2000–present ===,27606174
1986:,0,35,== Biography == | === 2000–present ===,27606174
Rock and Romance,1,35,== Biography == | === 2000–present ===,27606174
1986:,0,36,== Biography == | === 2000–present ===,27606174
Vrije Val,1,36,== Biography == | === 2000–present ===,27606174
1987:,0,37,== Biography == | === 2000–present ===,27606174
Zilver,1,37,== Biography == | === 2000–present ===,27606174
1989:,0,38,== Biography == | === 2000–present ===,27606174
De Reiziger,1,38,== Biography == | === 2000–present ===,27606174
1990:,0,39,== Biography == | === 2000–present ===,27606174
Stranger in Your Land,1,39,== Biography == | === 2000–present ===,27606174
1991:,0,40,== Biography == | === 2000–present ===,27606174
Hartslag,1,40,== Biography == | === 2000–present ===,27606174
1993:,0,41,== Biography == | === 2000–present ===,27606174
Tussen Jou en Mij,1,41,== Biography == | === 2000–present ===,27606174
1994:,0,42,== Biography == | === 2000–present ===,27606174
Iets van een Wonder,1,42,== Biography == | === 2000–present ===,27606174
1996:,0,43,== Biography == | === 2000–present ===,27606174
"De band, de Zanger en het Meisje",1,43,== Biography == | === 2000–present ===,27606174
1997: Overleven,0,44,== Biography == | === 2000–present ===,27606174
1997:,0,45,== Biography == | === 2000–present ===,27606174
