time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"May 31 , 1975","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Jimmy Bondoc (born James Patrick Romero Bondoc; May 31, 1975) is a Filipino musician and songwriter best known for composing his songs Let Me Be The One and Hanggang Dito Nalang.",0,0,,38655398,1975-05-31,1975-05-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018, he was appointed as the vice-president for community relations at the Philippine Amusement and Gaming Corporation (PAGCOR).",0,1,,38655398,2018-01-01,2018-12-31,ML
of 2017,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"As of 2017, he is currently studying law, at the San Beda.",0,4,== Personal life ==,38655398,2017-01-01,2017-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"In 2005, Bondoc had a relationship with the Filipina singer Nina also have faced disputes with Nyoy Volante.",0,7,== Career ==,38655398,2005-01-01,2005-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"In 2009, Bondoc released his album entitled ""Walang Araw, Walang Ulan under the Sony-BMG.",1,7,== Career ==,38655398,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"In 2010, the album Ang Mahiwagang Bisikleta at Ang Huling Makata was released.",2,7,== Career ==,38655398,2010-01-01,2010-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"In 2015, Bondoc was among the showbiz personalities who campaigned for Rodrigo Duterte's presidential candidacy.",0,8,== Career ==,38655398,2015-01-01,2015-12-31,ML
July 2016,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In July 2016, Bondoc has been appointed as the Assistant Vice President for Entertainment of the Philippine Amusement and Gaming Corporation (PAGCOR), replacing Bong Quintaña.",0,10,== Career == | === Presidential appointee ===,38655398,2016-07-01,2016-07-31,ML
April 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In April 2017, Bondoc was one of the organizers of ""Palit-Bise"" rally held at Luneta.",0,12,== Career == | ==== Palit-Bise rally ====,38655398,2017-04-01,2017-04-30,ML
"March 28 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On March 28, 2017, in a press conference prior to the rally, there were reported instances of bloggers and journalists receiving ""gas money"", for those who took public transport to go to the press conference.",4,12,== Career == | ==== Palit-Bise rally ====,38655398,2017-03-28,2017-03-28,ML
May 2019,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In May 2019, Bondoc posted his sentiments on the impending end of ABS-CBN's legislative franchise, typing ""I AM EAGERLY AWAITING YOUR DEMISE"".",0,14,== Career == | ==== ABS-CBN Franchise Renewal ====,38655398,2019-05-01,2019-05-31,ML
"June 12 , 2019","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On June 12, 2019, Bondoc celebrated the news of the House of Representatives freezing discussions on renewal of the media company's legislative franchise.",1,14,== Career == | ==== ABS-CBN Franchise Renewal ====,38655398,2019-06-12,2019-06-12,ML
now,RB,TIMELINE_REGEX,TIME,time_reference,Bondoc was also a radio host for The RnB Show at 97.9 Natural (now known as 97.9 Home Radio) with Duncan Ramos until the end of 2014.,5,7,== Career ==,38655398,2014-12-31,2014-12-31,LLM
Previously,RB,TIMELINE_REGEX,TIME,time_reference,"Previously he was appointed by Philippine President Rodrigo Duterte, as assistant vice-president in the Entertainment Department of the said corporation.",1,1,,38655398,,,ML
currently,RB,TIMELINE_REGEX,TIME,time_reference,"As of 2017, he is currently studying law, at the San Beda.",0,4,== Personal life ==,38655398,,,ML
AM,VBP,HALFDAY_REGEX_1,TIME,,"In May 2019, Bondoc posted his sentiments on the impending end of ABS-CBN's legislative franchise, typing ""I AM EAGERLY AWAITING YOUR DEMISE"".",0,14,== Career == | ==== ABS-CBN Franchise Renewal ====,38655398,,,ML
