entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/James_Monk,http://dbpedia.org/ontology/Person,"Allan James Monk,  (born August 19, 1942) is a Canadian baritone singer.",0,0,,,,,,,2508150
person,http://dbpedia.org/resource/Baritone,http://dbpedia.org/ontology/Person,"Allan James Monk,  (born August 19, 1942) is a Canadian baritone singer.",0,0,,,,,,,2508150
person,http://dbpedia.org/resource/Thelonious_Monk,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,2385,Monk,0,0.8115582665030182,0.22454763185691942,2508150
person,http://dbpedia.org/resource/Thelonious_Monk,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,2385,Monk,152,0.8115582665030182,0.22454763185691942,2508150
person,http://dbpedia.org/resource/Thelonious_Monk,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,2385,Monk,0,0.8115582665030182,0.22454763185691942,2508150
person,http://dbpedia.org/resource/Thelonious_Monk,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,2385,Monk,152,0.8115582665030182,0.22454763185691942,2508150
place,"http://dbpedia.org/resource/Mission,_British_Columbia","Wikidata:Q486972,Wikidata:Q3957,Schema:Place,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Town","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,510,"Mission, British Columbia",17,0.9999999999999716,0.0,2508150
place,http://dbpedia.org/resource/Burnaby,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","Monk was born in Mission, British Columbia, and grew up in Burnaby, British Columbia, where both of his parents were involved in a musical chorus where Monk was first exposed to opera.",0,2,== Early life ==,1987,Burnaby,59,0.9999986260396614,1.1709935721868532E-6,2508150
place,http://dbpedia.org/resource/Calgary,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",In 1957 he and his family moved to Calgary.,1,2,== Early life ==,20580,Calgary,35,0.998415353388581,8.205855641663481E-4,2508150
person,http://dbpedia.org/resource/Edward_Elgar,http://dbpedia.org/ontology/Person,He started voice training with Elgar Higgin and he participated in summer programs at the Banff School of Fine Arts.,2,2,== Early life ==,,,,,,2508150
place,http://dbpedia.org/resource/Calgary,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","He was also a member of the Calgary Theatre Singers and played roles in productions of Carousel, Oklahoma!, Annie Get and Guys and Dolls.",0,4,== Career ==,20580,Calgary,28,0.997239118323651,0.0021025538557491075,2508150
place,http://dbpedia.org/resource/Oklahoma,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion","He was also a member of the Calgary Theatre Singers and played roles in productions of Carousel, Oklahoma!, Annie Get and Guys and Dolls.",0,4,== Career ==,48487,Oklahoma,97,0.9954562361790035,0.002123166214918693,2508150
place,http://dbpedia.org/resource/United_States,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","In the USA his voice became famous when he attended Boris Goldovsky's  summer workshops in 1963, 1964, 1966.",2,4,== Career ==,551746,USA,7,0.9979062939619622,9.594297624328088E-4,2508150
person,http://dbpedia.org/resource/Boris_Goldovsky,http://dbpedia.org/ontology/Person,"In the USA his voice became famous when he attended Boris Goldovsky's  summer workshops in 1963, 1964, 1966.",2,4,== Career ==,,,,,,2508150
