entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Art_critic,http://dbpedia.org/ontology/Person,"Jean Robiquet (6 July 1874 – 26 March 1960) was a French art historian, art critic and curator.",0,0,,,,,,,50947405
person,http://dbpedia.org/resource/Playwright,http://dbpedia.org/ontology/Person,He was also a playwright and opérettes librettist known under the pseudonym Jean Roby.,1,0,,,,,,,50947405
person,http://dbpedia.org/resource/Pseudonym,http://dbpedia.org/ontology/Person,He was also a playwright and opérettes librettist known under the pseudonym Jean Roby.,1,0,,,,,,,50947405
place,"http://dbpedia.org/resource/Sceaux,_Hauts-de-Seine","Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","From that date, he set up the organization of the musée du Domaine départemental de Sceaux of which he was the custodian up to 1940.",1,2,== Biography ==,248,Sceaux,86,0.9801729486833689,0.01596774193548372,50947405
place,"http://dbpedia.org/resource/Sceaux,_Hauts-de-Seine","Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","He was also responsible for organizing numerous exhibitions in Sceaux, Bagatelle, in the Orangerie as well as in Carnavalet.",2,2,== Biography ==,248,Sceaux,63,0.9801729486833689,0.01596774193548372,50947405
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","1923: « Une tournée dans le vieux Paris », in Paris renseignements pratiques à l'usage de ses visiteurs, Paris syndicat d'initiatives",0,6,== Publications == | === Prefaces ===,139486,Paris,36,0.9999998796910249,1.2030897684985398E-7,50947405
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","1923: « Une tournée dans le vieux Paris », in Paris renseignements pratiques à l'usage de ses visiteurs, Paris syndicat d'initiatives",0,6,== Publications == | === Prefaces ===,139486,Paris,49,0.9999998796910249,1.2030897684985398E-7,50947405
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","1923: « Une tournée dans le vieux Paris », in Paris renseignements pratiques à l'usage de ses visiteurs, Paris syndicat d'initiatives",0,6,== Publications == | === Prefaces ===,139486,Paris,109,0.9999998796910249,1.2030897684985398E-7,50947405
person,http://dbpedia.org/resource/Anthony_Boucher,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","1928: François Boucher, Les boiseries du musée Carnavalet, Paris, Frazier-Soye",0,7,== Publications == | === Prefaces ===,541,Boucher,16,0.9999998126806025,1.4009245077419777E-7,50947405
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","1928: François Boucher, Les boiseries du musée Carnavalet, Paris, Frazier-Soye",0,7,== Publications == | === Prefaces ===,139486,Paris,61,0.9999980005803004,1.9994228572965404E-6,50947405
