entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,Catulle Mendès (22 May 1841 – 8 February 1909) was a French poet and man of letters.,0,0,,,,,,,1372632
place,http://dbpedia.org/resource/Bordeaux,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","Of Portuguese Jewish extraction, Mendès was born in Bordeaux.",0,2,== Early life and career ==,8865,Bordeaux,53,0.8469132612468383,0.11046054113056708,1372632
place,http://dbpedia.org/resource/Toulouse,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","After childhood and adolescence in Toulouse, he arrived in Paris in 1859 and quickly became one of the protégés of the poet Théophile Gautier.",1,2,== Early life and career ==,7933,Toulouse,35,0.9909937864774292,0.006601351742597989,1372632
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","After childhood and adolescence in Toulouse, he arrived in Paris in 1859 and quickly became one of the protégés of the poet Théophile Gautier.",1,2,== Early life and career ==,139486,Paris,59,0.9977681378861722,0.0022368544250058187,1372632
person,http://dbpedia.org/resource/Adolescence,http://dbpedia.org/ontology/Person,"After childhood and adolescence in Toulouse, he arrived in Paris in 1859 and quickly became one of the protégés of the poet Théophile Gautier.",1,2,== Early life and career ==,,,,,,1372632
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"After childhood and adolescence in Toulouse, he arrived in Paris in 1859 and quickly became one of the protégés of the poet Théophile Gautier.",1,2,== Early life and career ==,,,,,,1372632
person,http://dbpedia.org/resource/Gautier_le_Leu,http://dbpedia.org/ontology/Person,"After childhood and adolescence in Toulouse, he arrived in Paris in 1859 and quickly became one of the protégés of the poet Théophile Gautier.",1,2,== Early life and career ==,,,,,,1372632
place,http://dbpedia.org/resource/Roman_Empire,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","He promptly attained notoriety with the publication in the La Revue fantaisiste (1861) of his Roman d'une nuit, for which he was condemned to a month's imprisonment and a fine of 500 francs.",2,2,== Early life and career ==,34097,Roman,94,0.6800707682142242,0.3098130594162643,1372632
person,http://dbpedia.org/resource/Judith_Gautier,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q36180,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Writer","In 1866, Mendès married Judith Gautier, the younger daughter of his mentor Théophile.",0,4,== Personal life ==,24,Judith Gautier,25,1.0,0.0,1372632
place,http://dbpedia.org/resource/Augusta_Highway,"Wikidata:Q34442,Schema:Place,DBpedia:RouteOfTransportation,DBpedia:Place,DBpedia:Location,DBpedia:Infrastructure,DBpedia:ArchitecturalStructure,DBpedia:Road","They soon separated, and in 1869 he began cohabiting with the composer Augusta Holmès with whom he had five children, including:",1,4,== Personal life ==,116,Augusta,71,0.5537201759595137,0.7123226554173062,1372632
person,http://dbpedia.org/resource/Composer,http://dbpedia.org/ontology/Person,"They soon separated, and in 1869 he began cohabiting with the composer Augusta Holmès with whom he had five children, including:",1,4,== Personal life ==,,,,,,1372632
