entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"Gregorio Martínez Sierra (6 May 1881 – 1 October 1947) was a Spanish writer, poet, dramatist, and theatre director, a key figure in the revival of the Spanish theatrical avant-garde in the early twentieth century.",0,0,,,,,,,361339
person,http://dbpedia.org/resource/Playwright,http://dbpedia.org/ontology/Person,"Gregorio Martínez Sierra (6 May 1881 – 1 October 1947) was a Spanish writer, poet, dramatist, and theatre director, a key figure in the revival of the Spanish theatrical avant-garde in the early twentieth century.",0,0,,,,,,,361339
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,Work as a poet and playwright ==,1,1,== Work as a poet and playwright ==,,,,,,361339
person,http://dbpedia.org/resource/Playwright,http://dbpedia.org/ontology/Person,Work as a poet and playwright ==,1,1,== Work as a poet and playwright ==,,,,,,361339
place,http://dbpedia.org/resource/Flores,"Wikidata:Q23442,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Island","His subsequent books of poetry included Diálogos fantásticos ('Fantastic Dialogues', 1899), Flores de escarcha ('Frost Flowers', 1900) and La casa de primavera ('The House of Spring', 1907).",1,2,== Work as a poet and playwright ==,1146,Flores,94,0.91452577180316,0.06759310322489899,361339
person,http://dbpedia.org/resource/Playwright,http://dbpedia.org/ontology/Person,"As a playwright, Martínez Sierra was one of the few progressive dramatists whose productions achieved any measure of commercial success at the time of their composition.",0,3,== Work as a poet and playwright ==,,,,,,361339
person,http://dbpedia.org/resource/Frank_Sandford,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q2159907,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Criminal","His major works include La sombra del padre ('Shadow of the Father', 1909), Primavera en otoño ('Spring in Autumn', 1911), Sólo para mujeres ('For Women Only', 1913), Mamá ('Mama', 1913) and El reino de Dios ('The Kingdom of God', 1916).",1,3,== Work as a poet and playwright ==,30,The Kingdom,213,0.8073520340546745,0.23861695882962275,361339
person,http://dbpedia.org/resource/God,http://dbpedia.org/ontology/Person,"His major works include La sombra del padre ('Shadow of the Father', 1909), Primavera en otoño ('Spring in Autumn', 1911), Sólo para mujeres ('For Women Only', 1913), Mamá ('Mama', 1913) and El reino de Dios ('The Kingdom of God', 1916).",1,3,== Work as a poet and playwright ==,,,,,,361339
person,http://dbpedia.org/resource/Mitchell_Leisen,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Mitchell Leisen, 1933).",4,3,== Work as a poet and playwright ==,130,Mitchell Leisen,0,1.0,0.0,361339
person,http://dbpedia.org/resource/William_Shakespeare,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","Through his publishing house, Renacimiento ('Rebirth'), he translated the work of William Shakespeare, Maurice Maeterlinck and Santiago Rusiñol, and introduced the work of European playwrights including George Bernard Shaw and Luigi Pirandello to Spain.",1,6,== Work as a publisher and director ==,22809,William Shakespeare,82,1.0,2.211400028995393E-22,361339
