entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Charles-Valentin_Alkan,http://dbpedia.org/ontology/Person,"Souberbielle first studied with his mother, a former pupil of Émile Delaborde, son of Charles-Valentin Alkan.",0,2,== Biography ==,,,,,,52929265
person,http://dbpedia.org/resource/Abel,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","He continued his studies at the Schola Cantorum de Paris with Abel Decaux, Maurice Sergent, and Louis Vierne.",0,3,== Biography ==,483,Abel,62,0.5508504395733905,0.5308940401395651,52929265
person,http://dbpedia.org/resource/Louis_Vierne,http://dbpedia.org/ontology/Person,"He continued his studies at the Schola Cantorum de Paris with Abel Decaux, Maurice Sergent, and Louis Vierne.",0,3,== Biography ==,,,,,,52929265
person,http://dbpedia.org/resource/Jules_Mouquet,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","In 1925, he obtained a first prize in harmony (under Jules Mouquet) and a first prize in organ (under Eugène Gigout) at the Conservatoire de Paris.",1,3,== Biography ==,10,Jules Mouquet,53,1.0,0.0,52929265
person,http://dbpedia.org/resource/Jules_Mouquet,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","In 1925, he obtained a first prize in harmony (under Jules Mouquet) and a first prize in organ (under Eugène Gigout) at the Conservatoire de Paris.",1,3,== Biography ==,10,Jules Mouquet,53,1.0,0.0,52929265
place,http://dbpedia.org/resource/Paris,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","During his career, he was choirmaster or organist of several churches in Paris:",0,4,== Biography ==,139486,Paris,73,0.9995382792899604,4.619328252395E-4,52929265
person,http://dbpedia.org/resource/Madeleine_of_Valois,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Royalty","He married Madeleine, daughter of Léon Bloy.",0,5,== Biography ==,74,Madeleine,11,0.9998047182885282,9.623047220133789E-5,52929265
place,http://dbpedia.org/resource/Lâ,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","They had a son, Léon Souberbielle (1923–1991), organist, choirmaster, author of a book on Le Plein-Jeu de l’Orgue Français à l'époque classique (1660 – 1740), 1977 (reissued by Delatour).",1,5,== Biography ==,2,lâ,109,0.6694670476882897,0.0,52929265
place,http://dbpedia.org/resource/Lâ,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement","From 1926, he taught the organ at the Schola Cantorum, then at the École César Franck from 1935, and at the l’Institut catholique de Paris (Gregorian Institute) from 1943.",0,6,== Biography ==,2,lâ,110,0.6694670476882897,0.0,52929265
person,http://dbpedia.org/resource/Miles_Davis,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","He trained a number of leading organists including Arsène Bedois, Francis Chapelet, Michel Chapuis, Lynne Davis, Jacques Dussouil, André Isoir, Thierry Martin, Philippe Sauvage, Jean-Albert Villard, Odile Bailleux, etc.",1,6,== Biography ==,4823,Davis,107,0.6474360365433178,0.36466101868327555,52929265
person,http://dbpedia.org/resource/Louise_Sauvage,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Athlete","He trained a number of leading organists including Arsène Bedois, Francis Chapelet, Michel Chapuis, Lynne Davis, Jacques Dussouil, André Isoir, Thierry Martin, Philippe Sauvage, Jean-Albert Villard, Odile Bailleux, etc.",1,6,== Biography ==,79,Sauvage,171,0.9999999991147206,8.510825289564594E-10,52929265
person,http://dbpedia.org/resource/Henry_Villard,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","He trained a number of leading organists including Arsène Bedois, Francis Chapelet, Michel Chapuis, Lynne Davis, Jacques Dussouil, André Isoir, Thierry Martin, Philippe Sauvage, Jean-Albert Villard, Odile Bailleux, etc.",1,6,== Biography ==,142,Villard,192,0.9652023248259883,0.03600478597666345,52929265
person,http://dbpedia.org/resource/Miles_Davis,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist","He trained a number of leading organists including Arsène Bedois, Francis Chapelet, Michel Chapuis, Lynne Davis, Jacques Dussouil, André Isoir, Thierry Martin, Philippe Sauvage, Jean-Albert Villard, Odile Bailleux, etc.",1,6,== Biography ==,4823,Davis,107,0.6474360365433178,0.36466101868327555,52929265
