entType,URI,types,sentence,sentenceIndex,paragraphIndex,section,support,entity,offset,similarityScore,percentageOfSecondRank,wikiPageID
person,http://dbpedia.org/resource/Poet,http://dbpedia.org/ontology/Person,"9 March 2010), known as Alda do Espírito Santo or Alda Graça, was a poet from São Tomé e Príncipe working in the Portuguese language.",1,0,,,,,,,1151374
place,http://dbpedia.org/resource/São_Tomé_and_Príncipe,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",She also served in the Santomean government after the country's independence.,2,0,,2425,Santomean,23,0.9995929694533342,0.0,1151374
person,http://dbpedia.org/resource/Maria_II_of_Portugal,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Royalty","She was born in São Tomé e Príncipe, the former Portuguese territory off the coast of West Africa, to João Graça do Espírito Santo and Maria de Jesus Agostinho das Neves.",0,2,== Life and career ==,599,Maria,141,0.987411968260968,0.008027345256745444,1151374
person,http://dbpedia.org/resource/Jesus,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person","She was born in São Tomé e Príncipe, the former Portuguese territory off the coast of West Africa, to João Graça do Espírito Santo and Maria de Jesus Agostinho das Neves.",0,2,== Life and career ==,59745,Jesus,150,0.7018598415468771,0.4208144487044027,1151374
place,http://dbpedia.org/resource/Portugal,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country","After primary school, she attended secondary school in Portugal.",2,2,== Life and career ==,60125,Portugal,55,0.9912664245346618,0.007084141695450598,1151374
place,http://dbpedia.org/resource/Lisbon,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",In 1948 Alda da Graça began studying in Lisbon to become a primary school teacher.,3,2,== Life and career ==,19827,Lisbon,41,0.9987901711924406,7.963543271881181E-4,1151374
place,http://dbpedia.org/resource/Lisbon,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City","While in Lisbon, Alda da Graça met students from other Portuguese colonies and joined a student association called the Casa dos Estudantes do Império.",4,2,== Life and career ==,19827,Lisbon,9,0.9999906312755834,7.404260395133733E-6,1151374
person,http://dbpedia.org/resource/Agostinho_Neto,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q30461,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Politician,DBpedia:Person,DBpedia:Agent,DBpedia:President","In 1951, she founded Centro de Estudos Africanos with other students interested in nationalism, including Mário Pinto de Andrade and Agostinho Neto of Angola, Noémia de Sousa and Marcelino dos Santos of Mozambique, and Amílcar Cabral of Guinea-Bissau.",5,2,== Life and career ==,237,Agostinho Neto,134,1.0,1.9281753166516017E-34,1151374
person,http://dbpedia.org/resource/John_Philip_Sousa,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:MilitaryPerson","In 1951, she founded Centro de Estudos Africanos with other students interested in nationalism, including Mário Pinto de Andrade and Agostinho Neto of Angola, Noémia de Sousa and Marcelino dos Santos of Mozambique, and Amílcar Cabral of Guinea-Bissau.",5,2,== Life and career ==,999,Sousa,171,0.8563270305445543,0.1676263518375615,1151374
person,http://dbpedia.org/resource/Marcelino_dos_Santos,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician","In 1951, she founded Centro de Estudos Africanos with other students interested in nationalism, including Mário Pinto de Andrade and Agostinho Neto of Angola, Noémia de Sousa and Marcelino dos Santos of Mozambique, and Amílcar Cabral of Guinea-Bissau.",5,2,== Life and career ==,32,Marcelino dos Santos,181,1.0,0.0,1151374
