sentences,sentenceIndex,paragraphIndex,section,wikiId
"Marilyn (Marylin) Duke (née Manfrey Lecta Duke; October 3, 1916 Jackson, Georgia – August 7, 1995 Clayton County, Georgia), was an American singer from the swing era of the mid to late 1930s and early 1940s.",0,0,N/A,51311898
"She began as a soloist in 1933 on radio in Atlanta, then, beginning 1936, was carried on syndicated and network radio from New York City.",1,0,N/A,51311898
"In the first half of the 1940s, Duke traveled and recorded as a featured singer with big bands, notably with Vaughn Monroe.",2,0,N/A,51311898
"She distinguished herself as a rhythm singer – that is, a singer who swings.",3,0,N/A,51311898
"And, while with the Monroe Orchestra, she was acclaimed for having an engaging personalty.",4,0,N/A,51311898
"Duke was a tall brunette, and, according to journalists, attractive.",5,0,N/A,51311898
"As for her hair color, Duke was a blonde when she re-joined Monroe's band in 1944.",6,0,N/A,51311898
"After her career with big bands – after 1945 – and into the late 1960s, she performed on-and-off as a nightclub pianist-singer in the metropolitan areas of Boston, New York City, and Newport, Rhode Island.",7,0,N/A,51311898
"Her recorded hits with Vaughn Monroe include ""There'll Be Some Changes Made"" and ""The Trolley Song"" — the latter being a late-1944, post-Petrillo-ban, rush-to-market, swing band vocal duet with Monroe.",8,0,N/A,51311898
==,0,1,== Career highlights ==,51311898
Career highlights ==,1,1,== Career highlights ==,51311898
===,0,2,== Career highlights == | === Growing up ===,51311898
Growing up ===,1,2,== Career highlights == | === Growing up ===,51311898
"Marilyn Duke learned to sing in a choir at her church, likely the Macedonia Baptist Church in Jackson, Georgia, a suburb of Atlanta.",0,3,== Career highlights == | === Growing up ===,51311898
"Though, according to a 1995 interview (the year she died) in the Atlanta Constitution, at an early age, she preferred the gospel music of a nearby black church.",1,3,== Career highlights == | === Growing up ===,51311898
===,0,4,== Career highlights == | === Atlanta radio career ===,51311898
Atlanta radio career,1,4,== Career highlights == | === Atlanta radio career ===,51311898
===,2,4,== Career highlights == | === Atlanta radio career ===,51311898
"In 1933, under the product brand pseudonym of ""Miss Seiberling,"" Duke performed on broadcast radio WGST, Wednesdays, 7:15 pm.",0,5,== Career highlights == | === Atlanta radio career ===,51311898
"The radio name was that of the Seiberling Rubber Company, a national tire manufacturer distributed by the Brooks-Shatterly Company, Inc., of Atlanta.",1,5,== Career highlights == | === Atlanta radio career ===,51311898
"In 1934, Duke, under her birth name, Manfrey Duke, sang regularly on WSB radio in Atlanta.",2,5,== Career highlights == | === Atlanta radio career ===,51311898
===,0,6,== Career highlights == | === New York radio career ===,51311898
New York radio career,1,6,== Career highlights == | === New York radio career ===,51311898
===,2,6,== Career highlights == | === New York radio career ===,51311898
"After winning a radio audition contest around 1934, Duke headed to New York City, where, from December 30, 1934, to 1936 (and later), she sang regularly on NBC radio and the Mutual Broadcasting Company.",0,7,== Career highlights == | === New York radio career ===,51311898
She was billed as a blues singer and contralto.,1,7,== Career highlights == | === New York radio career ===,51311898
Her radio broadcasts included performances with the orchestras of Leon Brusiloff (1898–1973) and his brother Nathan Brusiloff (1904–1951) and Paul Whiteman.,2,7,== Career highlights == | === New York radio career ===,51311898
"In 1935, her broadcast performances were sometimes with The Charioteers, a male choral quartet.",3,7,== Career highlights == | === New York radio career ===,51311898
"Beginning December 30, 1934, Duke sang on WOR two or three times a week – typically Tuesdays, Thursdays, and Saturdays at 5:15 pm.",4,7,== Career highlights == | === New York radio career ===,51311898
"She sang 15-minute segments, usually.",5,7,== Career highlights == | === New York radio career ===,51311898
The WOR broadcasts were carried on the Mutual Network.,6,7,== Career highlights == | === New York radio career ===,51311898
===,0,8,== Career highlights == | === Early dance orchestra career ===,51311898
Early dance orchestra career,1,8,== Career highlights == | === Early dance orchestra career ===,51311898
===,2,8,== Career highlights == | === Early dance orchestra career ===,51311898
"From Mid to late-1930s, Duke, as vocalist, was the star attraction for Manny Gates (né Emanuel Getzholtz; 1894–1957) Orchestra in Miami She joined Jolly Coburn's (né Frank Harry Coburn; 1900–1964) Orchestra, a society band, around July 1937 after playing a piano stint at a Boston nightclub.",0,9,== Career highlights == | === Early dance orchestra career ===,51311898
Duke also sang with the Shep Fields Orchestra in 1937 (in Philadelphia).,1,9,== Career highlights == | === Early dance orchestra career ===,51311898
===,0,10,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
Joined Vaughn,1,10,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
Monroe's Orchestra in 1940,2,10,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
===,3,10,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
"On New Year's Eve 1940—at age twenty-four—11 months, 2 weeks and 5 days after the death of her father—Duke debuted with the Vaughn Monroe Orchestra at the Statler Hotel Boston, eight months after Monroe founded the Orchestra.",0,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
"Her father died January 8, 1940, of injuries as a pedestrian struck by a truck.",1,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
"Monroe formed his orchestra April 1940 in Miami at the urging and sponsorship of band agent Willard Alexander (1908–1984) and New England-based band leader Jack Marshard (né Jacob Marshard; 1910–1948), who saw an opportunity when offered two simultaneous bookings.",2,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
Marshard became his manager.,3,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
Marylin Duke was Monroe's first female vocalist.,4,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
"She had been working as a pianist-singer at a Boston nightclub; but because an infected finger interrupted her playing, she auditioned for Vaughn Monroe and was promptly signed.",5,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
Her notoriety rose rapidly during her tenure with Vaughn Monroe and his Orchestra as a featured singer.,6,11,== Career highlights == | === Joined Vaughn Monroe's Orchestra in 1940 ===,51311898
===,0,12,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
Departure from Vaughn Monroe's Orchestra in 1943 =,1,12,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
==,2,12,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
"She left the Monroe Orchestra in around June 1943 to join the WAAC, but instead, continued performing, which included a two-month stint with Tommy Dorsey.",0,13,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
"That same year (1943), Duke also sang with Will Osborne and His Orchestra.",1,13,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
"Filling the void, Monroe hired Phyllis Lynne July 31, 1943, in Los Angeles, to replace Duke.",2,13,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
"Monroe gave Lynne her East Coast debut on September 14, 1943, in New York City at the Paramount.",3,13,== Career highlights == | === Departure from Vaughn Monroe's Orchestra in 1943 ===,51311898
===,0,14,== Career highlights == | === Rejoined Vaughn Monroe's Orchestra in 1944 ===,51311898
Rejoined Vaughn Monroe's Orchestra in 1944 =,1,14,== Career highlights == | === Rejoined Vaughn Monroe's Orchestra in 1944 ===,51311898
==,2,14,== Career highlights == | === Rejoined Vaughn Monroe's Orchestra in 1944 ===,51311898
"Around June 1944, Duke began a 10-week solo engagement at the Frolic Club (aka, the Frolic Theatre Restaurant), in Revere, Massachusetts, at 155 Revere Beach Boulevard.",0,15,== Career highlights == | === Rejoined Vaughn Monroe's Orchestra in 1944 ===,51311898
