time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
2017,CD,YEAR_REGEX_1,TIME,time_reference,"She released her EP Tommy on UK label Hyperdub to critical acclaim in 2017, and has received praise for her albums Lifetime (2019) and Frozen (2020) on her record label ijn inc.",1,0,,55416209
2019,CD,YEAR_REGEX_1,TIME,time_reference,"She released her EP Tommy on UK label Hyperdub to critical acclaim in 2017, and has received praise for her albums Lifetime (2019) and Frozen (2020) on her record label ijn inc.",1,0,,55416209
2020,CD,YEAR_REGEX_1,TIME,time_reference,"She released her EP Tommy on UK label Hyperdub to critical acclaim in 2017, and has received praise for her albums Lifetime (2019) and Frozen (2020) on her record label ijn inc.",1,0,,55416209
2016,CD,YEAR_REGEX_1,TIME,time_reference,"After independently releasing the projects ONLY and Lagata in 2016, she garnered a cult audience and critical praise from sources such as The Wire and Boomkat.",2,2,== Biography ==,55416209
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Klein released Tommy to the UK label Hyperdub in 2017, appearing on Laurel Halo’s album Dust and releasing her label debut EP Tommy later that year, receiving positive reviews from publications such as Tiny Mix Tapes and Pitchfork Media.",3,2,== Biography ==,55416209
later that year,RB IN NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"Klein released Tommy to the UK label Hyperdub in 2017, appearing on Laurel Halo’s album Dust and releasing her label debut EP Tommy later that year, receiving positive reviews from publications such as Tiny Mix Tapes and Pitchfork Media.",3,2,== Biography ==,55416209
2018,CD,YEAR_REGEX_1,TIME,time_reference,"In 2018 she directed and scored Care, a fantasy musical inspired by Disney princesses and the UK care system; it premiered at London's ICA in February 2018.",4,2,== Biography ==,55416209
February 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In 2018 she directed and scored Care, a fantasy musical inspired by Disney princesses and the UK care system; it premiered at London's ICA in February 2018.",4,2,== Biography ==,55416209
2016,CD,YEAR_REGEX_1,TIME,time_reference,"ONLY (2016, self-release)",0,7,== Discography ==,55416209
2019,CD,YEAR_REGEX_1,TIME,time_reference,"Lifetime (2019, ijn inc.)",0,8,== Discography ==,55416209
2020,CD,YEAR_REGEX_1,TIME,time_reference,"Frozen (2020, ijn inc.)",0,9,== Discography ==,55416209
2021,CD,YEAR_REGEX_1,TIME,time_reference,"Harmattan (2021, Pentatone)EPs",0,10,== Discography ==,55416209
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Lagata (2016, self-release)",0,11,== Discography ==,55416209
2017,CD,YEAR_REGEX_1,TIME,time_reference,"Tommy (2017, Hyperdub)",0,12,== Discography ==,55416209
2018,CD,YEAR_REGEX_1,TIME,time_reference,"cc (2018, self-release)",0,13,== Discography ==,55416209
