time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"March 20 , 2013","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"After battling an unknown illness over a prolonged period, Mell left I've Sound after the release of her compilation album Entrust: The Name of Mell on March 20, 2013.",3,0,,10160496
"January 26 , 2001","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Kanashimi no Hana"" (悲しみの花) (January 26, 2001)",0,29,== Song list == | === I've solo works ===,10160496
"March 2 , 2001","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(March 2, 2001)",1,30,== Song list == | === I've solo works ===,10160496
"December 28 , 2002","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""World My Eyes -prototype-"" (December 28, 2002)",0,31,== Song list == | === I've solo works ===,10160496
"December 28 , 2002","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Sabaku no Yuki"" (砂漠の雪) (December 28, 2002)",0,32,== Song list == | === I've solo works ===,10160496
"February 28 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Last in Blue"" (February 28, 2003)",0,33,== Song list == | === I've solo works ===,10160496
"June 27 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Spiral"" (June 27, 2003)",0,34,== Song list == | === I've solo works ===,10160496
"September 5 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Out Flow"" (September 5, 2003)",0,35,== Song list == | === I've solo works ===,10160496
Days,NNPS,TIME_UNIT_REGEX,TIME,time_reference,"""Our Youthful Days"" (October 31, 2003)",0,36,== Song list == | === I've solo works ===,10160496
"October 31 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Our Youthful Days"" (October 31, 2003)",0,36,== Song list == | === I've solo works ===,10160496
"December 17 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Permit"" (December 17, 2004)",0,37,== Song list == | === I've solo works ===,10160496
"December 17 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(December 17, 2004)",1,38,== Song list == | === I've solo works ===,10160496
"December 17 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"no Toh (許しの塔, Yurushi no Tō)- (December 17, 2004)",1,39,== Song list == | === I've solo works ===,10160496
"December 17 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"no Toh (許しの塔, Yurushi no Tō)- Unplugged Mix (December 17, 2004)",1,40,== Song list == | === I've solo works ===,10160496
"December 29 , 2004","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(December 29, 2004)",1,41,== Song list == | === I've solo works ===,10160496
"January 14 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Egen"" (January 14, 2005)",0,42,== Song list == | === I've solo works ===,10160496
"December 28 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(December 28, 2008)",1,43,== Song list == | === I've solo works ===,10160496
"December 28 , 2008","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(December 28, 2008)",1,44,== Song list == | === I've solo works ===,10160496
"March 25 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Kara no Tsubomi"" (殻の蕾) (March 25, 2009)",0,45,== Song list == | === I've solo works ===,10160496
"May 1 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Bizarrerie Cage"" (May 1, 2009)",0,46,== Song list == | === I've solo works ===,10160496
"February 26 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Noblest Love"" (February 26, 2010)",0,47,== Song list == | === I've solo works ===,10160496
"July 14 , 2000","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Sora Yori Chikai Yume"" (空より近い夢) (July 14, 2000)",0,49,== Song list == | === Mell and Miki ===,10160496
"June 14 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Eien- (～小さな永遠～, -Chiisana Eien-) (June 14, 2006)",1,51,== Song list == | === Kotoko and Mell ===,10160496
"September 5 , 2003","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"(September 5, 2003)",3,53,== Song list == | === I've Special Unit ===,10160496
"July 30 , 2005","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Fair Heaven"" (July 30, 2005)",0,54,== Song list == | === I've Special Unit ===,10160496
"April 4 , 2007","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"""Tenjō o Kakeru Monotachi"" (天壌を翔る者たち); performed as Love Planet Five (April 4, 2007)",0,55,== Song list == | === I've Special Unit ===,10160496
Now,RB,TIMELINE_REGEX,TIME,time_reference,"""Where Are You Now?""",0,68,== Song list == | === Solo ===,10160496
