time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"March 16 , 1943 – April 28 , 2006","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,"Helen Armstrong (March 16, 1943 – April 28, 2006) was the founder and artistic director of Armstrong Chamber Concerts Inc (ACC), a non-profit, chamber music organization she founded in 1984.",0,0,,8655371
1984,CD,YEAR_REGEX_1,TIME,time_reference,"Helen Armstrong (March 16, 1943 – April 28, 2006) was the founder and artistic director of Armstrong Chamber Concerts Inc (ACC), a non-profit, chamber music organization she founded in 1984.",0,0,,8655371
June,NNP,MONTH_REGEX,TIME,time_reference,"Her dedication, artistry and love of music and musicians inspired all those who met her and performed with her, including Itzhak Perlman, Skitch Henderson, Martha Graham, Peter Duchin, Kathie Lee Gifford, Christopher Dodd, Ezra Laderman and June Dunbar.",1,1,,8655371
"March 16 , 1943","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Armstrong was born in Rockford, Illinois, on March 16, 1943 to Dr. Robert Bruce and Hannah Armstrong.",0,3,== Early life ==,8655371
1976,CD,YEAR_REGEX_1,TIME,time_reference,"She made her Lincoln Center debut in 1976 and went on to perform with orchestras such as the Boston Pops, the Indianapolis Symphony Orchestra, the New Polish Philharmonic, and the Martha Graham Dance Company.",0,4,== Early life ==,8655371
22 years,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"During the past 22 years, her focus had been concert performances in elegant private homes in Greenwich, in other venues in Washington, D.C. and New Milford, as well as at Carnegie Hall in New York City.",2,6,== Career ==,8655371
recently,RB,TIMELINE_REGEX,TIME,time_reference,"She has recorded on the Musical Heritage, Elysium and CRS labels — Reflections, on the Elysium label and the newest CD, Illusions, on CRS, which was recently released.",1,7,== Career ==,8655371
1760,CD,YEAR_REGEX_1,TIME,time_reference,"Her violin, a J.B. Guadagnini, dated 1760, was one of her great loves.",2,7,== Career ==,8655371
"April 28 , 2006","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Helen died on April 28, 2006 in Greenwich, Connecticut, at the age of 63",0,9,== Career ==,8655371
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Armstrong was widowed by her first husband, Alan Cohen in 1978.",0,11,== Personal life ==,8655371
1996,CD,YEAR_REGEX_1,TIME,time_reference,"She married investment banker Ajit Hutheesing, the nephew of Jawaharlal Nehru, India's first Prime Minister, in 1996.",2,11,== Personal life ==,8655371
8 December 2017,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Hutheesing, was a member of the Nehru-Gandhi political family and died on 8 December 2017.",3,11,== Personal life ==,8655371
