time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
"July 31 , 1963","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Chad Brock was born July 31, 1963, in Ocala, Florida.",0,4,== Biography ==,6712415
1994,CD,YEAR_REGEX_1,TIME,time_reference,"In 1994, he signed a record deal with Warner Bros. Records, but he did not release any music for over three years.",4,4,== Biography ==,6712415
three years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"In 1994, he signed a record deal with Warner Bros. Records, but he did not release any music for over three years.",4,4,== Biography ==,6712415
1994 to 1996,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"Chad wrestled for WCW from 1994 to 1996, until an injury forced him to retire.",6,4,== Biography ==,6712415
1999,CD,YEAR_REGEX_1,TIME,time_reference,"He also appeared at several WCW events in 1999, where he was briefly involved in an angle with Curt Hennig.",7,4,== Biography ==,6712415
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1998, Brock released his debut single, ""Evangeline"", which peaked at number 51 on the Billboard Hot Country Singles & Tracks (now Hot Country Songs) charts.",0,6,== Musical career ==,6712415
now,RB,TIMELINE_REGEX,TIME,time_reference,"In 1998, Brock released his debut single, ""Evangeline"", which peaked at number 51 on the Billboard Hot Country Singles & Tracks (now Hot Country Songs) charts.",0,6,== Musical career ==,6712415
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Its third and final single, ""Lightning Does The Work"", reached number 19 in 1999.",3,6,== Musical career ==,6712415
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Brock's fourth chart single was a rewrite of Hank Williams, Jr.'s signature song ""A Country Boy Can Survive"", a number 2 hit for Williams in 1981.",0,7,== Musical career ==,6712415
the Year 2000,DT NN CD,PREFIX_REGEX_1 TIME_UNIT_REGEX YEAR_REGEX_1,MODIFIER TIME TIME,time_reference,"Chad's version, which featured Williams and George Jones, was entitled ""A Country Boy Can Survive (Y2K Version)"", was re-written with lyrics pertaining to the Year 2000 problem (abbreviated Y2K).",1,7,== Musical career ==,6712415
2000,CD,YEAR_REGEX_1,TIME,time_reference,The song served as the first single from Brock's 2000 album Yes!.,2,7,== Musical career ==,6712415
2001,CD,YEAR_REGEX_1,TIME,time_reference,"2001 saw the release of Brock's third and final album for Warner Bros.. Entitled III, it was less successful than its predecessor.",0,8,== Musical career ==,6712415
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Brock left Nashville in 2005 to co-host a morning show on the Tampa, Florida, station WQYK-FM along with country music parodist Cledus T. Judd.",0,9,== Musical career ==,6712415
a morning,DT NN,INARTICLE_REGEX DAY_TIME_REGEX,MODIFIER TIME,time_reference,"Brock left Nashville in 2005 to co-host a morning show on the Tampa, Florida, station WQYK-FM along with country music parodist Cledus T. Judd.",0,9,== Musical career ==,6712415
the morning,DT NN,PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER TIME,time_reference,"He remained on the morning show on WQYK-FM, while Cletus moved on to the Bull in Atlanta.",1,9,== Musical career ==,6712415
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, Brock signed with Rocky Comfort Records, a label which was started by Tracy Lawrence, although he did not release anything for the label.",2,9,== Musical career ==,6712415
four years,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"His first single in four years, ""Put A Redneck In The White House"", was released in August 2008 on the Straight Shooter label.",3,9,== Musical career ==,6712415
August 2008,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"His first single in four years, ""Put A Redneck In The White House"", was released in August 2008 on the Straight Shooter label.",3,9,== Musical career ==,6712415
February 2010,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In February 2010, Brock left WQYK-FM to begin his new position as Director of Programming for the new cable channel The Country Network but left TCN in early 2011.",4,9,== Musical career ==,6712415
early 2011,JJ CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"In February 2010, Brock left WQYK-FM to begin his new position as Director of Programming for the new cable channel The Country Network but left TCN in early 2011.",4,9,== Musical career ==,6712415
"October 25 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On October 25, 2010, Brock announced on his social networking page his intention to run for the United States Senate in 2014.",0,11,== Political aspirations ==,6712415
2014,CD,YEAR_REGEX_1,TIME,time_reference,"On October 25, 2010, Brock announced on his social networking page his intention to run for the United States Senate in 2014.",0,11,== Political aspirations ==,6712415
