time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
6 November 1936,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Barbara Heller (born 6 November 1936) is a German composer and pianist.,0,0,,28893704
am,VBP,HALFDAY_REGEX_1,TIME,,Barbara Heller was born in Ludwigshafen am Rhein.,0,2,== Biography ==,28893704
1943,CD,YEAR_REGEX_1,TIME,time_reference,"After the parental home was bombed in 1943, the family moved to Hammelbach/Odenwald.",2,2,== Biography ==,28893704
1948,CD,YEAR_REGEX_1,TIME,time_reference,"In 1948 they returned to Ludwigshafen, in 1949 moved to Mannheim, then to Cologne and Darmstadt.",3,2,== Biography ==,28893704
1949,CD,YEAR_REGEX_1,TIME,time_reference,"In 1948 they returned to Ludwigshafen, in 1949 moved to Mannheim, then to Cologne and Darmstadt.",3,2,== Biography ==,28893704
1957,CD,YEAR_REGEX_1,TIME,time_reference,Barbara Heller studied music in Mannheim and Munich and graduated in 1957.,0,3,== Biography ==,28893704
1949,CD,YEAR_REGEX_1,TIME,time_reference,"Her first attempts at composition were in 1949, though self-taught.",1,3,== Biography ==,28893704
1958 to 1962,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,From 1958 to 1962 she was a lecturer and piano teacher at the School of Music and Performing Arts in Mannheim.,4,3,== Biography ==,28893704
1970,CD,YEAR_REGEX_1,TIME,time_reference,"In 1970 she established the ""Hermann Heiss Archive, Darmstadt"" from the estate of the composer, and continued to collect documents for the archive.",0,4,== Biography ==,28893704
1978,CD,YEAR_REGEX_1,TIME,time_reference,"In 1978 she participated in the construction of ""Working Women and Music"" and served on the executive board until 1981.",1,4,== Biography ==,28893704
1981,CD,YEAR_REGEX_1,TIME,time_reference,"In 1978 she participated in the construction of ""Working Women and Music"" and served on the executive board until 1981.",1,4,== Biography ==,28893704
1980,CD,YEAR_REGEX_1,TIME,time_reference,In 1980 she helped organize the first big festival on women and music in Bonn/Cologne.,2,4,== Biography ==,28893704
1986,CD,YEAR_REGEX_1,TIME,time_reference,In 1986 she became a board member of the Institute for New Music and Music Education Darmstadt.,3,4,== Biography ==,28893704
1990,CD,YEAR_REGEX_1,TIME,time_reference,Until 1990 Heller continued to actively perform as a pianist.,0,5,== Biography ==,28893704
1991,CD,YEAR_REGEX_1,TIME,time_reference,"In 1991 she participated in the foundation of the group ""Bluna Bluna"" with Nicholas Heyduck and Michael Harenberg, which produces tape compositions, sound installations, audio-visual exhibition projects, and improvisations.",1,5,== Biography ==,28893704
2007,CD,YEAR_REGEX_1,TIME,time_reference,"Feminae in Musica (Feminae Records, 2007)",0,9,== Discography ==,28893704
