time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId
24 July 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Hiroya Ozaki (尾崎 裕哉, Ozaki Hiroya, born 24 July 1989) is a Japanese singer-songwriter.",0,0,,51711212
24 July 1989,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Ozaki was born on 24 July 1989 in Tokyo, Japan, to Japanese singer songwriter Yutaka Ozaki and Shigemi Ozaki.",0,2,== Early life and family ==,51711212
2017,CD,YEAR_REGEX_1,TIME,time_reference,Ozaki embarked on the tour entitled Let Freedom Ring Tour 2017 in support of the extended play.,3,9,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
September 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2017, ""Glory Days"" was released as the lead single from Ozaki's second extended play.",0,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
Days,NNP,TIME_UNIT_REGEX,TIME,time_reference,"In September 2017, ""Glory Days"" was released as the lead single from Ozaki's second extended play.",0,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
the Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,His second extended play Seize the Day was released in October 2017 and peaked number thirteen in Japan.,3,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
October 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,His second extended play Seize the Day was released in October 2017 and peaked number thirteen in Japan.,3,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
the Day,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"To promote the extended play, Ozaki embarked his second tour, Seize the Day Tour 2017 from October 2017, at NHK Osaka Hall.",4,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
2017,CD,YEAR_REGEX_1,TIME,time_reference,"To promote the extended play, Ozaki embarked his second tour, Seize the Day Tour 2017 from October 2017, at NHK Osaka Hall.",4,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
October 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"To promote the extended play, Ozaki embarked his second tour, Seize the Day Tour 2017 from October 2017, at NHK Osaka Hall.",4,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
2017,CD,YEAR_REGEX_1,TIME,time_reference,"His first unplugged concert tour, One Man Stand 2017 started in December 2017.",5,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
December 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"His first unplugged concert tour, One Man Stand 2017 started in December 2017.",5,10,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
April 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Ozaki released a single, ""Hurry Up!"", with Sky-Hi and Kerenmi, in April 2018.",0,11,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
2018,CD,YEAR_REGEX_1,TIME,time_reference,He embarked his fourth concert tour entitled Beyond All Borders 2018 in May 2018.,1,11,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
May 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,He embarked his fourth concert tour entitled Beyond All Borders 2018 in May 2018.,1,11,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
September 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In September 2018, Ozaki announced that he would release a new single, ""Kono Sora wo Subete Kimi ni"" (この空をすべて君に).",2,11,== Career == | === 2016–present: Let Freedom Ring and Seize the Day ===,51711212
