types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/BodyOfWater109225146,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/ontology/River,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/River109411430,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/Stream109448361,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/WikicatRiversOfMississippi,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/WikicatRiversOfNorthAmerica,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tallahatchie_River,Tallahatchie River,111,153,1.0,0.0,1,6,== Life and career == | === 1960–1990: Part-time musician ===
