types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/WikicatIndonesianMusicalInstruments,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/WikicatPercussionInstruments,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/MusicalInstrument103800933,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/PercussionInstrument103915437,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/WikicatGamelanInstruments,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
http://dbpedia.org/class/yago/WikicatThaiMusicalInstruments,http://dbpedia.org/resource/Angklung,Angklung,126,313,1.0,0.0,1,6,== Biography ==
