types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/WikicatClerks,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Worker109632518,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Clerk109928451,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Employee110053808,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/White-collar_worker,white-collar,612,109,0.9999984091274008,1.5866969243929272e-06,9,7,== Career == | === 1975–78: Sex Pistols and the punk movement ===
