types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatAdaptationsOfWorksByJeanCocteau,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WorldPremiere106894371,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Adaptation106408779,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Wikicat1959Operas,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/Wikicat20th-centuryOperas,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatFrench-languageOperas,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatOne-actOperas,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatOperasByFrancisPoulenc,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
http://dbpedia.org/class/yago/WikicatOpéra-ComiqueWorldPremieres,http://dbpedia.org/resource/La_voix_humaine,The Human Voice,104,315,0.9994042645900412,0.000596090489633916,3,22,== Ethno-musicology ==
