types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/WikicatAlternativesToAnimalTesting,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/ontology/VideoGame,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/DecisionMaking105788149,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/HigherCognitiveProcess105770664,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/Option105790944,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/Process105701363,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Computer_simulation,computational modeling,1591,188,0.9999999999996588,0.0,2,1,
