types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Wikicat1938Books,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Wikicat1943Books,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/Wikicat1966Books,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
http://dbpedia.org/class/yago/WikicatTintinBooks,http://dbpedia.org/resource/The_Black_Island,Black Island,82,59,0.9829403852108892,0.0167985244912048,0,41,== Discography ==
