types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/WikicatIdeologies,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/WikicatPoliticalIdeologies,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/Attitude106193203,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/Orientation106208021,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/PoliticalOrientation106212839,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Nazism,Hitlerism,27965,78,0.9999999840071752,0.0,6,72,== Work == | === The Origins of Totalitarianism (1951) ===
