types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/WikicatAmericanPeople,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfAustrian-JewishDescent,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/WikicatAustrianPeople,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/WikicatPeopleFromVienna,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/WikicatConductors,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Conductor109952539,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Richard_Lert,Richard Lert,15,32,1.0,0.0,1,0,
