types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/WikicatPoliticalOrganisationsInTheUnitedKingdom,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/WikicatPoliticalOrganizationsInTheUnitedStates,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/British-American_Project,British-American Project,40,111,1.0,0.0,2,12,== Awards and positions ==
