types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/WikicatModems,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/ElectronicEquipment103278248,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Modem103777754,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Telecommunication106271778,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
http://dbpedia.org/class/yago/WikicatTelecommunications,http://dbpedia.org/resource/Modem,dial-up modem,2332,95,1.0,0.0,8,5,== Early life and education ==
