types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/WikicatCharityFundraisers,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Applicant109607280,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Fundraiser110116478,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Petitioner110420031,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Solicitor110623354,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Walkathon,Walk-A-Thon,71,44,0.9999999999673436,0.0,7,16,== Legacy ==
