types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatAmericanMunicipalPoliceChiefs,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatCommissionersOfTheNewYorkCityPoliceDepartment,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Administrator109770472,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Captain109893015,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Commissioner109943811,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Defender109614684,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Lawman110249459,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Policeman110448983,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Preserver110466918,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/New_York_City_Police_Commissioner,NYPD Police Commissioner,434,311,1.0,0.0,0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lloyd_Suh,Lloyd Suh,4,67,1.0,0.0,1,20,== Career == | === Film ===
