types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/WikicatLGBTNightclubs,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Cabaret102931417,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Spot104286128,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gay_bar,drag bar,893,101,0.9999999999964756,0.0,4,10,== Career == | === 2014–17: Breakthrough and major-label releases ===
