types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatAncientWeapons,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatJapaneseSwords,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatBladeWeapons,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatWeaponsOfJapan,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://umbel.org/umbel/rc/PhysicalDevice,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://umbel.org/umbel/rc/Weapon,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatMedievalWeapons,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatSamuraiWeaponsAndEquipment,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatSingle-edgedSwords,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Instrument103574816,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Sword104373894,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Weapon104565375,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
http://dbpedia.org/class/yago/WikicatSwords,http://dbpedia.org/resource/Katana,Katana,1436,0,0.9982970745484424,0.0012260075874128,1,60,== Discography == | === Remixes ===
