types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatReligiousOrganizationsEstablishedIn1911,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Denomination108146782,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/NongovernmentalOrganization108009834,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatPentecostalDenominations,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
http://dbpedia.org/class/yago/WikicatPentecostalDenominationsEstablishedInThe20thCentury,http://dbpedia.org/resource/International_Pentecostal_Holiness_Church,Pentecostal Holiness,120,103,1.0,0.0,0,0,
