types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatPopMusicGenres,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatFusionMusicGenres,http://dbpedia.org/resource/Cantopop,canto-jazz,758,120,1.0,0.0,4,5,== Career ==
