types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/WikicatAdvertisingPublicationsByFormat,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/WikicatAlbums,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Album_cover,photography,1622,29,0.99325900123215,0.0067549500729642,4,28,"== Biography == | === Trout Mask Replica, 1969 ==="
