types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Integer113728499,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Number113582013,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Couple113743605,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Digit113741022,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/WikicatFolkMusicGroups,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/WikicatGermanFolkMusicGroups,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/WikicatGermanMusicalDuos,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/WikicatMusicalDuos,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
http://dbpedia.org/class/yago/Two113743269,http://dbpedia.org/resource/Zupfgeigenhansel,Zupfgeigenhansel,4,23,1.0,0.0,0,106,== In popular culture ==
