types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/WikicatPoliceForcesOfEngland,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Force108208016,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/LawEnforcementAgency108348815,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Police108209687,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/WikicatOrganisationsBasedInTheWestMidlands(county),http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1974,http://dbpedia.org/resource/West_Midlands_Police,West Midlands Police,425,87,0.9999918112800872,8.18878696626955e-06,2,17,== Controversy == | === University of Central England incident ===
