types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/WikicatAgenciesOfTheUnitedStatesGovernment,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/WikicatDefunctAgenciesOfTheUnitedStatesGovernment,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/WikicatGovernmentAgenciesEstablishedIn1933,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
http://dbpedia.org/class/yago/WikicatNewDealAgencies,http://dbpedia.org/resource/Public_Works_Administration,Public Works Administration,799,222,1.0,0.0,5,2,== Life and career ==
