types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/WikicatComposers,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Composer,composer,22686,79,0.9997668011617892,0.00013076057643938502,"Tom Harrell (born June 16, 1946) is an American jazz trumpeter, flugelhornist, composer, and arranger.",0,0,
