types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/WikicatDutchOrchestras,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1904,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1904,http://dbpedia.org/resource/Residentie_Orchestra,Residentie Orkest The Hague,117,45,1.0,0.0,1,22,"== Biography == | === Solo career, The Gentle Storm and VUUR (2012–present) ==="
