types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/New_York_City_Players,New York City Players,7,151,1.0,0.0,0,3,== Career == | === Forming of Cameo ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/WikicatAmericanJazzPianists,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Pianist110430665,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Gregory_B._Johnson,Gregory Johnson,14,235,0.9999975964205884,0.0,0,3,== Career == | === Forming of Cameo ===
