types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Drug,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/WikicatWaxes,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Chemical114806838,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Compound114818238,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Lipid114938907,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Macromolecule114944888,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Material114580897,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Molecule114682133,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/OrganicCompound114727670,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Thing100002452,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Unit109465459,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
http://dbpedia.org/class/yago/Wax115094294,http://dbpedia.org/resource/Surfboard_wax,surf wax,14,118,1.0,0.0,4,3,== Career ==
