types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/WikicatCoversAlbums,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://umbel.org/umbel/rc/Album_IBO,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/WikicatLauraPausiniAlbums,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
http://dbpedia.org/class/yago/Wikicat2006Albums,http://dbpedia.org/resource/Io_canto,yo canto,44,32,0.9999999999845528,1.5454326975852148e-11,0,23,== Recordings ==
