types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatPeopleFromValletta,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatWomen,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Woman110787470,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Biographer109855433,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Female109619168,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatEnglishBiographers,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatEnglishPeople,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
http://dbpedia.org/class/yago/WikicatEnglishPoets,http://dbpedia.org/resource/Ursula_Vaughan_Williams,Ursula,58,32,0.99995971712874,3.799819087923139e-05,3,24,== Life and career == | === 1939–1952 ===
