@URI,@support,@types,@surfaceForm,@offset,@similarityScore,@percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://dbpedia.org/resource/Francisco_Canaro,72,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Francisco Canaro,0,1.0,0.0,"Francisco Canaro (November 26, 1888 – December 14, 1964) was a Uruguayan violinist and tango orchestra leader.",0,0,
http://dbpedia.org/resource/Uruguay,18788,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Uruguayan,65,0.9896773535426121,0.006021462890230551,"Francisco Canaro (November 26, 1888 – December 14, 1964) was a Uruguayan violinist and tango orchestra leader.",0,0,
http://dbpedia.org/resource/Tango_music,1342,"Wikidata:Q188451,DUL:Concept,DBpedia:TopicalConcept,DBpedia:Genre,DBpedia:MusicGenre",tango,89,0.8293796774272102,0.18842099119208075,"Francisco Canaro (November 26, 1888 – December 14, 1964) was a Uruguayan violinist and tango orchestra leader.",0,0,
http://dbpedia.org/resource/County_Mayo,2820,"Wikidata:Q486972,Schema:Place,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Settlement",Mayo,32,0.9814767388926445,0.017021894413559426,"Canaro was born in San José de Mayo, Uruguay, in 1888.",0,1,
http://dbpedia.org/resource/Uruguay,18788,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Uruguay,38,0.9991469848905717,6.593609278346802E-4,"Canaro was born in San José de Mayo, Uruguay, in 1888.",0,1,
http://dbpedia.org/resource/Italy,155703,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Italian,17,0.5176107313452402,0.6821673887287838,"His parents were Italian immigrants, and later, when he was less than 10 years old, they emigrated to Buenos Aires, Argentina in the late nineteenth century.",1,1,
http://dbpedia.org/resource/Buenos_Aires,33842,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Buenos Aires,102,0.9934561767531842,0.006557254236326994,"His parents were Italian immigrants, and later, when he was less than 10 years old, they emigrated to Buenos Aires, Argentina in the late nineteenth century.",1,1,
http://dbpedia.org/resource/Argentina,70394,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Argentina,116,0.9998825593036431,9.623977179446182E-5,"His parents were Italian immigrants, and later, when he was less than 10 years old, they emigrated to Buenos Aires, Argentina in the late nineteenth century.",1,1,
http://dbpedia.org/resource/Oil,9578,,oil,58,0.5139429885707467,0.830021716819743,"As a young man he found work in a factory, where an empty oil can, in his skilled hands, became his first violin.",2,1,
http://dbpedia.org/resource/Violin,21552,,violin,106,0.9999592014862435,1.1047373845133215E-5,"As a young man he found work in a factory, where an empty oil can, in his skilled hands, became his first violin.",2,1,
