types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/ontology/Poem,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatHinduTexts,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatSanskritTexts,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/EpicPoem106379721,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatEpicPoems,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatEpicPoemsInSanskrit,http://dbpedia.org/resource/Ramayana,Ramayan,4592,60,1.0,1.031768717350761e-22,1,15,== Career == | === Films ===
