types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Militant110315837,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Disputant109615465,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/Reformer110515194,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/WikicatCountercultureFestivalsActivists,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/London_Free_School,All Saints Hall,38,65,1.0,0.0,9,4,== London Free School and Notting Hill Fayre ==
