types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAnthems,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/ontology/Song,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Worship101028655,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/WikicatLatinHymns,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/WikicatRomanCatholicPrayers,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Anthem107048928,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Prayer101041968,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Non_nobis,Non Nobis Domine,18,0,1.0,0.0,0,80,"== Published articles, compositions, arrangements == | === Compositions (Published) ==="
