types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/WikicatPlantsDescribedIn1753,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/ontology/Plant,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://umbel.org/umbel/rc/Plant,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/Plant100017222,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Papaya,papaya,1115,27,0.9999953827651225,4.61030425178699e-06,4,5,== Career == | === Papaya dance ===
