types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1893,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/Orchestra108248157,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/SymphonyOrchestra108248856,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishOrchestras,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
http://dbpedia.org/class/yago/WikicatSymphonyOrchestras,http://dbpedia.org/resource/Bournemouth_Symphony_Orchestra,Bournemouth Municipal Orchestra,308,100,1.0,0.0,3,2,== Career ==
