types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/WikicatVietnameseRevolutionaries,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Radical110503452,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Revolutionist110527334,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Kim_Đồng,Kim Dong,21,3,0.5865908427193061,0.7047619047619103,0,0,
