types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHeroesInNorseMythsAndLegends,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/WikicatVikingAgeMonarchs,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/WikicatMythologicalKingsOfSweden,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/HeadOfState110164747,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Hero110325013,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/King110231515,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Negotiator110351874,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Representative110522035,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Ruler110541229,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Sovereign110628644,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Haki,haki,63,59,0.997889352869766,0.0021151113828989,1,0,
