types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pianist,pianist,5869,77,0.9973954857659664,0.0026113124596683,Edith Farnadi (25 September 1921 – 12 or 14 December 1973) was a Hungarian pianist.,0,0,
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Pianist,pianist,5869,77,0.9973954857659664,0.0026113124596683,Edith Farnadi (25 September 1921 – 12 or 14 December 1973) was a Hungarian pianist.,0,0,
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Pianist,pianist,5869,77,0.9973954857659664,0.0026113124596683,Edith Farnadi (25 September 1921 – 12 or 14 December 1973) was a Hungarian pianist.,0,0,
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatAustrianComposers,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatAustrianMusicians,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://schema.org/Person,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarian-GermanPeople,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianClassicalComposers,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianClassicalOrganists,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianClassicalPianists,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianComposers,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianMusicEducators,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianMusicians,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianPeople,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianPeopleOfAustrianDescent,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatHungarianPianists,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatKnightsOfTheGoldenSpur,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatPeopleFromOberpullendorfDistrict,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatPeopleFromWeimar,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatPianoPedagogues,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatChildClassicalMusicians,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatClassicalPianists,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatComposersForPiano,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatComposersForPipeOrgan,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatMusicians,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatRomanticComposers,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/WikicatSacredMusicComposers,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Knight110238375,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/MaleAristocrat110285135,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Organist110382825,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Franz_Liszt,Franz Liszt,4526,70,1.0,0.0,She was born in Budapest and began her studies at the age of 7 at the Franz Liszt Academy of Music.,0,1,
