types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatGreetings,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatHandGestures,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatSalutes,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Acknowledgment106628861,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Approval106686736,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Gesture100334509,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Greeting106630017,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Motion100331950,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Recognition106688274,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Salute106688913,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatGestures,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatGesturesOfRespect,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
http://dbpedia.org/class/yago/WikicatSymbolsOfNaziGermany,http://dbpedia.org/resource/Nazi_salute,sieg heil,666,62,0.9999999999998864,0.0,14,116,== Politics and activities ==
