types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAmericanFolkloreLegendaryCreatures,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/WikicatLegendaryCreaturesOfTheIndigenousPeoplesOfNorthAmerica,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/LegendaryCreature109487022,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/Monster109491966,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/MythicalBeing109484664,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/MythicalMonster109492123,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Wampus_cat,Wampus,31,9,0.9999997099833844,0.0,4,3,== Life and career ==
