types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/ComicOpera107026646,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/Wikicat1880Operas,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/WikicatEnglish-languageOperas,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/WikicatEnglishComicOperas,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
http://dbpedia.org/class/yago/WikicatOperasByEdwardSolomon,http://dbpedia.org/resource/Billee_Taylor,Billie Taylor,44,169,1.0,0.0,14,8,== Life and career == | === Principal comedian on tour 1887 to 1897 ===
