types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/State108654360,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
http://dbpedia.org/class/yago/WikicatFormerProvincesOfJapan,http://dbpedia.org/resource/Iyo_Province,iyo,129,7,0.9999647156539886,3.26544890673554e-05,0,27,== Discography == | === Selected singles ===
