types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/WikicatAesthetics,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Aesthetic105968971,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Doctrine105943300,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/PhilosophicalDoctrine106167328,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Gesamtkunstwerk,Music Drama,274,12,0.9999999999995736,0.0,0,16,== Awards and honors ==
