types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/SocietalEvent,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/WikicatGreekFestivalsOfDionysus,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/WikicatDecemberObservances,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/WikicatMarchObservances,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Look100877127,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Observation100879759,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/Sensing100876874,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/SensoryActivity100876737,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/WikicatFestivalsInAncientAthens,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
http://dbpedia.org/class/yago/WikicatFestivalsInAncientGreece,http://dbpedia.org/resource/Dionysia,Dionysia,304,6,1.0,9.366591988558705e-16,0,49,== Bibliography ==
