types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/WikicatArchitecturalStyles,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/WikicatArchitectureGroups,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/WikicatRevivalArchitecturalStyles,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/ArchitecturalStyle105841351,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/ArtForm105841151,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Neoclassical_architecture,classically-inspired,9353,170,0.9999999929848116,0.0,4,25,"== Career == | === 2011–2015: Night of Hunters, Gold Dust, and Unrepentant Geraldines ==="
