types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/WikicatHouseMusicGenres,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://umbel.org/umbel/rc/MusicalComposition,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/WikicatMusicGenres,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/WikicatElectronicDanceMusicGenres,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
http://dbpedia.org/class/yago/WikicatElectronicMusicGenres,http://dbpedia.org/resource/House_music,house-music,6680,60,0.9999999979205256,0.0,1,5,== Biography ==
