types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/WikicatBotanists,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/WikicatMycologists,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Biologist109855630,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Botanist109868270,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Mycologist110343088,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Scientist110560637,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/WikicatFrenchBotanists,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
http://dbpedia.org/class/yago/WikicatFrenchMycologists,http://dbpedia.org/resource/Jacques_Désiré_Leandri,Leandri,65,57,0.9850341401686822,0.0,1,5,== Family ==
