types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/WikicatAmericanFilms,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Wikicat2000sComedyFilms,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/Wikicat2005Films,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
http://dbpedia.org/class/yago/WikicatEnglish-languageFilms,http://dbpedia.org/resource/Southern_Belles,Southern Belles,8,412,1.0,0.0,0,3,== Education and career ==
