types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatBritishAtheists,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatBritishComposers,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatBritishPeople,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Winner110782940,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatMusiciansFromBradford,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatRomanticComposers,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatRoyalPhilharmonicSocietyGoldMedallists,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Atheist109820044,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Disbeliever110015897,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Medalist110305062,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/NonreligiousPerson109625789,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Wikicat19th-centuryClassicalComposers,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/Wikicat20th-centuryClassicalComposers,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishAtheists,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishComposers,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishExpatriatesInFrance,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatEnglishPeopleOfGermanDescent,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatPeopleEducatedAtBradfordGrammarSchool,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://dbpedia.org/class/yago/WikicatPeopleFromBradford,http://dbpedia.org/resource/Frederick_Delius,Frederick Delius,752,174,1.0,0.0,4,5,== Career ==
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Drum_Boogie,Drum Boogie,7,110,1.0,0.0,9,5,== Career ==
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Drum_Boogie,Drum Boogie,7,110,1.0,0.0,9,5,== Career ==
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Martha_Tilton,Martha Tilton,108,169,1.0,0.0,9,5,== Career ==
http://dbpedia.org/class/yago/WikicatAmericanFemaleSingers,http://dbpedia.org/resource/Martha_Tilton,Martha Tilton,108,169,1.0,0.0,9,5,== Career ==
http://dbpedia.org/class/yago/WikicatAmericanMusicians,http://dbpedia.org/resource/Martha_Tilton,Martha Tilton,108,169,1.0,0.0,9,5,== Career ==
http://dbpedia.org/class/yago/WikicatAmericanSingers,http://dbpedia.org/resource/Martha_Tilton,Martha Tilton,108,169,1.0,0.0,9,5,== Career ==
