types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/HumanisticDiscipline106153846,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/KnowledgeDomain105999266,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Ballet100528667,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Dancing100428270,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Discipline105996646,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Diversion100426928,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/StageDancing100528397,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Wikicat1849BalletPremieres,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Performance106891493,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/PerformingArts106157326,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/Premiere106893285,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/WikicatBalletsByAugustBournonville,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Le_Conservatoire,Konservatoriet,15,17,0.9999999999999432,0.0,0,75,== Writings ==
