types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/ontology/Album,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/WikicatComputerStorageMedia,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/StorageMedium106263762,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
http://dbpedia.org/class/yago/WikicatAlbums,http://dbpedia.org/resource/Picture_disc,"7"" vinyl picture disc",302,45,1.0,0.0,5,18,== History == | === Christ Illusion (2006–2008) ===
